candidate_fingerprint,candidate_line,brand_raw,model_raw,model_year_raw,trim_raw,status_raw,brand_id,model_ids,method,review_id
12f1c4b5519d,32,Chevrolet,Captiva,2026,7-seat single trim,MATCH,chevrolet,chevrolet/captiva,exact_normalized,
35a537b13d4d,33,Chevrolet,Malibu,2022 (sold as New),1.5 A/T Turbo Premier,SINGLE_SOURCE / MODEL_YEAR_FLAG,chevrolet,chevrolet/malibu,exact_normalized,
20e15286fa7b,34,BYD,Atto 8,2026,Ultra(CC/Hatla2ee)/Design(EgyCar),PRICE_CONFLICT (minor) + NAMING_DIFFERENCE,byd,byd/atto-8,exact_normalized,
ccee4f0a09f0,35,BYD,Sealion 5,2026,Ultra/Luxury,CONFIRMED_MATCH_ALL_SOURCES,byd,byd/sealion-5,exact_normalized,
a59d8fb3e3ac,36,BYD,Seal,2025,Unspecified / Other Trims,SIGNIFICANT_PRICE_CONFLICT,byd,byd/seal,exact_normalized,
50acf784a512,37,BYD,Sealion 6,2025 (CC) vs 2026/2027 (Hatla2ee),"Unspecified(CC) / EV, EV Luxury, DM-i Ultra, DM-i Luxury (4 Hatla2ee trims)",PRICE_CONFLICT + MODEL_YEAR_CONFLICT,byd,byd/sealion-6,exact_normalized,
551126102159,38,BYD,Song L,2024 (sold as New),662 Km Excellent,SINGLE_SOURCE / MODEL_YEAR_FLAG,byd,byd/song-l,exact_normalized,
48ca34748d6e,39,BYD,F3,2025,Manual/Automatic (2 trims),SINGLE_SOURCE/MODEL_DISCOVERY,byd,byd/f3,exact_normalized,
a545c9fd1da6,40,BYD,Dolphin Surf,2027,Automatic (1 trim),CONFIRMED_MATCH_ALL_SOURCES,byd,byd/dolphin-surf,exact_normalized,
31d547df83ee,41,BYD,TI 7,2027,Ultra/Luxury (2 trims),SINGLE_SOURCE/MODEL_DISCOVERY,byd,byd/ti-7,exact_normalized,
e26a8f537e1a,42,BYD,M9,2027,Ultra/Luxury (2 trims),SINGLE_SOURCE/MODEL_DISCOVERY,byd,byd/m9,exact_normalized,
bb2f12d5cf00,43,Hyundai,Venue,2027,Mid/base/Topline (3 trims),SINGLE_SOURCE / PRICE_NOT_PUBLISHED,hyundai,hyundai/venue,exact_normalized,
5f0663e71c8e,44,Hyundai,IONIQ 6,2025,Connect Plus/Extreme RWD/Extreme AWD,SINGLE_SOURCE_FOR_THIS_COHORT,hyundai,hyundai/ioniq-6,exact_normalized,
2a979a2d190d,45,Hyundai,IONIQ 9,2026,Connect/Extreme/Caligraphy,SINGLE_SOURCE_FOR_THIS_COHORT,hyundai,hyundai/ioniq-9,exact_normalized,
04dedf2ae1a5,46,Hyundai,Santa Fe,2025,HEV Executive RWD/HEV Calligraphy AWD,SINGLE_SOURCE_FOR_THIS_COHORT,hyundai,hyundai/santa-fe,exact_normalized,
9135d8a8c578,47,Kia,EV3,2026,Air/Earth/GT Line,CONFIRMED_MATCH_ALL_SOURCES,kia,kia/ev3,exact_normalized,
60fed50aa905,48,Kia,K4,2026,Highline/GT Line/GT Line Black Edition,"PRICE_CONFLICT (trivial, 100 EGP)",kia,kia/k4,exact_normalized,
13f28104271f,49,Kia,EV5,2025,Air/Earth/GT Line,SINGLE_SOURCE_FOR_THIS_COHORT,kia,kia/ev5,exact_normalized,
eda7c0b6bd14,50,Kia,EV6,2025/2026,"Earth/GT Line (2025, hatchback); GT (2026, listed as SUV)",SINGLE_SOURCE_FOR_THIS_COHORT + MODEL_YEAR_CONFLICT,kia,kia/ev6,exact_normalized,
b151b89658f4,51,Kia,EV9,2025,GT Line 7/6 Swivel/6 Relax,SINGLE_SOURCE_FOR_THIS_COHORT,kia,kia/ev9,exact_normalized,
95db44a99530,52,Kia,Sorento,2026,HEV Topline 7 Seats (1 trim),SINGLE_SOURCE_FOR_THIS_COHORT,kia,kia/sorento,exact_normalized,
f86fcdafe2f8,53,Kia,Carnival,2026,HEV Topline 8 Seats (1 trim),SINGLE_SOURCE_FOR_THIS_COHORT,kia,kia/carnival,exact_normalized,
b65ec35c55eb,54,Soueast,S 05,2027,Highline (1 trim),CONFIRMED_MATCH_ALL_SOURCES,soueast,soueast/s-05,exact_normalized,
0985e5c4a588,55,Soueast,S 06,2027,Highline/Premium/DM (3 trims),"PRICE_CONFLICT (trivial, 1,000 EGP)",soueast,soueast/s-06,exact_normalized,
7752f5358d6f,56,Soueast,S 07,2027,Highline/Premium (2 trims),CONFIRMED_MATCH_ALL_SOURCES,soueast,soueast/s-07,exact_normalized,
0cdec7e932ee,57,Soueast,S 09,2027,Premium (1 trim),CONFIRMED_MATCH_ALL_SOURCES,soueast,soueast/s-09,exact_normalized,
54f0689af0c9,58,Soueast,S 08 DM,2027,Intelligent (1 trim),"PRICE_CONFLICT (trivial, 1,000 EGP) + NAMING_DIFFERENCE",soueast,soueast/s-08-dm,exact_normalized,
45b322c1c294,59,Nissan,Sunny,2027,Manual Base/A/T Base/AT Mid/AT Super salon (4 trims),VARIANT_DISCOVERY + MINOR_PRICE_CONFLICT,nissan,nissan/sunny,exact_normalized,
52378a35cd99,60,Nissan,Magnite,2027,Visia/Acenta/Tekna/Tekna+ (4 trims),CONFIRMED_MATCH_ALL_SOURCES,nissan,nissan/magnite,exact_normalized,
1f2e0803161d,61,Nissan,Sentra,2026/2027,Premium/Full Option (1 trim),MODEL_YEAR_CONFLICT + PRICE_CONFLICT,nissan,nissan/sentra,exact_normalized,
fa181faee0bb,62,Nissan,Juke,2025 / 2026 / 2027,Multiple conflicting lineups,MODEL_YEAR_CONFLICT + MODEL_DISCOVERY + NAMING_DIFFERENCE,nissan,nissan/juke,exact_normalized,
51ea8a4f61a7,63,Nissan,Navara,2026,Single Cab XE Plus/4WD MT XE Plus/4WD AT SE Plus/4WD MT LE Plus/4WD AT LE Plus (5 trims),SINGLE_SOURCE_FOR_THIS_COHORT,nissan,nissan/navara,exact_normalized,
c26983b7f29c,64,Nissan,Qashqai,2027,N-connecta/N-connecta Plus/N-connecta+2T/Tekna2T/N-Design e-PWR/Tekna Plus 4WD (6 trims CC) vs 5 trims (EgyCar/Hatla2ee),VARIANT_DISCOVERY + PRICE_CONFLICT,nissan,nissan/qashqai,exact_normalized,
3acce4eb21f8,65,Nissan,X-Trail,2026,Acenta Plus/N-Trek/Tekna (3 trims),SIGNIFICANT_PRICE_CONFLICT,nissan,nissan/x-trail,exact_normalized,
f4ebba7f745e,66,Nissan,Patrol,2025/2026,XE/SE/SE Titanium/LE1/SE Platinum City/LE2/LE Titanium/LE Platinum City (8 trims),MODEL_YEAR_CONFLICT_ONLY,nissan,nissan/patrol,exact_normalized,
87900a12c1ac,67,Nissan,N7,2025,FWD (1 trim),SINGLE_SOURCE / PRICE_NOT_PUBLISHED,nissan,nissan/n7,exact_normalized,
8ed42d50404c,68,Nissan,Armada,2026,Unspecified,SINGLE_SOURCE / NO_OFFICIAL_PAGE_FOUND,nissan,nissan/armada,exact_normalized,
e7d913f54548,69,MG,4,2026,Standard/Luxury (2 trims),"CONFIRMED_MATCH (Hatla2ee range only, no trim split)",mg,mg/4,exact_normalized,
cd0ea08bf8c5,70,MG,5,2027,Comfort/Luxury (2 trims),CONFIRMED_MATCH_ALL_SOURCES,mg,mg/5,exact_normalized,
51cbbdb1872e,71,MG,6,2026,A/T LUX Black/Red Interior (2 trims),MODEL_DISCOVERY,mg,mg/6,exact_normalized,
693b05a50ee3,72,MG,7,2026/2027,Luxury/Trophy (2 trims),MODEL_YEAR_CONFLICT_ONLY,mg,mg/7,exact_normalized,
bca5155bfd63,73,MG,Cyberster,2026/2027,Trophy RWD (1 trim),MODEL_YEAR_CONFLICT_ONLY,mg,mg/cyberster,exact_normalized,
2d156339da97,74,MG,G50 Plus,2026/2027,1.5 A/T Luxury (1 trim),MODEL_YEAR_CONFLICT_ONLY,mg,mg/g50-plus,exact_normalized,
514f7482ebad,75,MG,GT,2026/2027,Comfort/Luxury (2 trims),MODEL_YEAR_CONFLICT_ONLY,mg,mg/gt,exact_normalized,
13546ccc3aa6,76,MG,HS,2026/2027,"+Luxury(Plus Luxury)/HEV (2 trims), plus a 3rd unexplained price point",SIGNIFICANT_PRICE_CONFLICT + MODEL_YEAR_CONFLICT,mg,mg/hs,exact_normalized,
b8dee4706c92,77,MG,One,2026/2027,Luxury (1 trim),MODEL_YEAR_CONFLICT_ONLY,mg,mg/one,exact_normalized,
e84cab8ab580,78,MG,RX5,2025/2026/2027,Unspecified (classified only),SINGLE_SOURCE / NO_OFFICIAL_PAGE_FOUND,mg,mg/rx5,exact_normalized,
a50df998dabb,79,MG,RX5 Plus,2026/2027,Luxury (1 trim),MODEL_YEAR_CONFLICT_ONLY,mg,mg/rx5-plus,exact_normalized,
435cfbaad0d2,80,MG,RX9,2027,Luxury (1 trim),CONFIRMED_MATCH_ALL_SOURCES (minor rounding),mg,mg/rx9,exact_normalized,
6c6aee6758ed,81,MG,ZS,2026/2027,Comfort/Luxury(Plus)/Facelift MCE (2-3 trims across sources),VARIANT_DISCOVERY + MODEL_YEAR_CONFLICT,mg,mg/zs,exact_normalized,
2cc0fb56f813,82,Chery,Arrizo 5,2026/2027,Comfort/Elite/Premium (3 trims per year),PRICE_CONFLICT + MODEL_YEAR_CONFLICT,chery,chery/arrizo-5,exact_normalized,
e29ad5a96477,83,Chery,Arrizo 6 GT,2026/2027,Comfort/Luxury (2 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/arrizo-6-gt,exact_normalized,
a2370f1da885,84,Chery,Arrizo 8,2026/2027,Premium/Elite (2 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/arrizo-8,exact_normalized,
9c4f871399aa,85,Chery,QQ,2027,Unspecified (classified only),SINGLE_SOURCE/DATA_QUALITY_FLAG,chery,chery/qq,exact_normalized,
3f8b06004327,86,Chery,Tiggo 3,2026,"Unspecified (1 trim, discovery)",MODEL_DISCOVERY,chery,chery/tiggo-3,exact_normalized,
4a19af481615,87,Chery,Tiggo 4 PRO,2026/2027,Comfort/Luxury/Flagship (3 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/tiggo-4-pro,exact_normalized,
feef9a538ca0,88,Chery,Tiggo 7,2026/2027,Comfort/Luxury (2 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/tiggo-7,exact_normalized,
0f8d9897376c,89,Chery,Tiggo 7 Pro,2026/2027,Comfort/Luxury (2 trims); plus a second unmatched 2026 cohort on Hatla2ee,CONFIRMED_MATCH_ALL_SOURCES (2027) + MODEL_DISCOVERY (2026 cohort),chery,chery/tiggo-7-pro,exact_normalized,
45e110cba5f3,90,Chery,Tiggo 7 Pro Max,2026/2027,Comfort/Luxury (2 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/tiggo-7-pro-max,exact_normalized,
78565278475f,91,Chery,Tiggo 8,2026/2027,Comfort/Luxury/Flagship (3 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/tiggo-8,exact_normalized,
1fd1bb2fc1b4,92,Chery,Tiggo 8 PRO,2026/2027,Luxury/Flagship (2 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/tiggo-8-pro,exact_normalized,
73a21e3cafe3,93,Chery,Tiggo 8 Pro Max,2026/2027,Luxury/Flagship (2 trims),MODEL_YEAR_CONFLICT_ONLY,chery,chery/tiggo-8-pro-max,exact_normalized,
61b22de8bba4,94,Chery,Tiggo 9,2027,Flagship (1 trim),CONFIRMED_MATCH_ALL_SOURCES,chery,chery/tiggo-9,exact_normalized,
776b258dd7ae,95,Chery,eQ7,2027,Unspecified (1 trim),CONFIRMED_MATCH_ALL_SOURCES,chery,chery/eq7,exact_normalized,
9b7f78802b96,96,Hyundai,Accent RB,2026,GL/SR/DAB ABS/Highline/DAB ABS PLUS (5 trims),MODEL_DISCOVERY,hyundai,hyundai/accent-rb,exact_normalized,
d5795eee6986,97,Hyundai,Elantra AD,2026/2027,Baseline/Modern/Modern Sunroof/Topline (4 trims per year),"CONFIRMED_MATCH_ALL_SOURCES (2027, minor naming diff: 'Smart' vs 'Baseline')",hyundai,hyundai/elantra-ad,exact_normalized,
3076f23e3708,98,Hyundai,Elantra CN7,2025,Shadow/Blaze/RedLine/Black Diamond (4 trims),CONFIRMED_MATCH_ALL_SOURCES,hyundai,hyundai/elantra-cn7,exact_normalized,
d1eee31791ea,99,Hyundai,i 30,2026,"HB/FB/SW Blaze, HB/SW/FB Redline, HB/FB NLine (8 trims on ContactCars; Hatla2ee shows only 4)",VARIANT_DISCOVERY + COVERAGE_GAP,hyundai,hyundai/i30,exact_normalized,
5fd15cb7e216,100,Hyundai,IONIQ 6,2025,Connect Plus Long Range RWD/Extreme Long Range RWD/Extreme Long Range AWD (3 trims),PRICE_CONFLICT,hyundai,hyundai/ioniq-6,exact_normalized,
cde880c1c9ac,101,Hyundai,IONIQ 5,2025,Connect Plus LR RR/Extreme LR RR/Extreme LR AWD/N Boost 84 (4 trims),CONFIRMED_MATCH_ALL_SOURCES,hyundai,hyundai/ioniq-5,exact_normalized,
d32bcb6310d1,102,Hyundai,IONIQ 9,2026,Connect/Extreme/Caligraphy (3 trims),CONFIRMED_MATCH_ALL_SOURCES,hyundai,hyundai/ioniq-9,exact_normalized,
678913efdb46,103,Hyundai,Santa Fe,2025,HEV Executive RWD/HEV Calligraphy AWD (2 trims),PRICE_CONFLICT (top trim only),hyundai,hyundai/santa-fe,exact_normalized,
55b34775e689,104,Hyundai,Staria,2025,HEV Premium Lounge 7 Seats (1 trim),SINGLE_SOURCE,hyundai,hyundai/staria,exact_normalized,
63f0b1542b26,105,Hyundai,Venue,2027,"Mid/base/Topline (3 trims, unspecified pricing)",SINGLE_SOURCE/PRICE_NOT_PUBLISHED,hyundai,hyundai/venue,exact_normalized,
651595a1a26d,106,Jetour,Dashing,2027,Comfort (unpriced)/Luxury 1.5L/Luxury 1.6L (3 trims across sources),VARIANT_DISCOVERY,jetour,jetour/dashing,exact_normalized,
0dae646ae664,107,Jetour,X70 - facelift,2027,Comfort/Luxury (2 trims),CONFIRMED_MATCH_ALL_SOURCES,jetour,jetour/x70-facelift,exact_normalized,
c1f0a7163ba6,108,Jetour,X70 Plus CKD,2027,Luxury (1 trim),CONFIRMED_MATCH_ALL_SOURCES,jetour,jetour/x70-plus-ckd,exact_normalized,
7798f1454e5d,109,Jetour,X90 Plus,2027,Luxury FL (1 trim),CONFIRMED_MATCH_ALL_SOURCES,jetour,jetour/x90-plus,exact_normalized,
b764aefe3095,110,Jetour,T1,2027,Luxury/Matt Colour (2 trims),CONFIRMED_MATCH_ALL_SOURCES,jetour,jetour/t1,exact_normalized,
9a3a0618803c,111,Jetour,T2,2027,Luxury 1.5L/Matt Colour/i-DM hybrid (3 trims),CONFIRMED_MATCH_ALL_SOURCES,jetour,jetour/t2,exact_normalized,
4406e58b9857,112,Skoda,Octavia,2026,Selection Loft,CONFIRMED_MATCH_ALL_SOURCES,skoda,skoda/octavia,exact_normalized,
21e1ffbae31f,113,Skoda,Octavia,2026,Selection Lounge,CONFIRMED_MATCH_ALL_SOURCES,skoda,skoda/octavia,exact_normalized,
fbc342e27115,114,Skoda,Octavia,2026,Selection Suite,PRICE_CONFLICT,skoda,skoda/octavia,exact_normalized,
8c74caefc865,115,Skoda,KAROQ,2026,Selection Suite (1 trim),CONFIRMED_MATCH_ALL_SOURCES,skoda,skoda/karoq,exact_normalized,
f2e4f66ca263,116,Skoda,Superb,2026,Selection 1.5/L&K 1.5/L&K 2.0 (3 trims),CONFIRMED_MATCH_ALL_SOURCES,skoda,skoda/superb,exact_normalized,
5784de781bae,117,Skoda,KODIAQ,2026,Selection Loft/Selection Suite/Sportline (3 trims),CONFIRMED_MATCH_ALL_SOURCES,skoda,skoda/kodiaq,exact_normalized,
c8c1b0960dc9,118,Skoda,KODIAQ,2025,Loft/Lounge/Suite/Sportline (4 trims),SINGLE_SOURCE/MODEL_YEAR_DISCOVERY,skoda,skoda/kodiaq,exact_normalized,
24a0d27b3d68,119,Volkswagen,Golf,2025,Life (1 trim),SINGLE_SOURCE/NO_HATLA2EE_COVERAGE,volkswagen,volkswagen/golf,exact_normalized,
29e7aeab6b5f,120,Volkswagen,T-Roc,2026,R-line (1 trim),SINGLE_SOURCE/NO_HATLA2EE_COVERAGE,volkswagen,volkswagen/t-roc,exact_normalized,
bbfe95811408,121,Volkswagen,Tiguan,2026,R-Line (1 trim),SINGLE_SOURCE/NO_HATLA2EE_COVERAGE,volkswagen,volkswagen/tiguan,exact_normalized,
0c1ba9a5329d,122,Volkswagen,Tayron,2026,R-Line (1 trim),SINGLE_SOURCE/NO_HATLA2EE_COVERAGE,volkswagen,volkswagen/tayron,exact_normalized,
ef85707611c8,123,Volkswagen,Touareg,2025,R-Line (1 trim),SINGLE_SOURCE/NO_HATLA2EE_COVERAGE,volkswagen,volkswagen/touareg,exact_normalized,
081ee3a4c814,124,Volkswagen,ID.4 Crozz / ID.4 / ID.6 Crozz / id7 / ID-ERA 9X,"2022-2026 (mixed, classified)","Unspecified (5 electric models, classified only)",SINGLE_SOURCE/NO_OFFICIAL_LISTING,volkswagen,volkswagen/id-4;volkswagen/id-4-crozz;volkswagen/id-6-crozz;volkswagen/id-era-9x;volkswagen/id7,unresolved,R-ed88793bb0f8
347bd02efcea,125,Changan,EADO,2026,Elite/Flagship (2 trims),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/eado,exact_normalized,
54083dc51a5b,126,Changan,CS35 PLUS,2026,ELITE/PREMIUM/FLAGSHIP (3 trims),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/cs35-plus,exact_normalized,
07537f15706e,127,Changan,Eado Plus,2026,Elite/Premium/Flagship (3 trims),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/eado-plus,exact_normalized,
8a47fa333955,128,Changan,CS55-Plus,2026,Elite (Local)/Premium (Local)/Flagship (3 trims),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/cs55-plus,exact_normalized,
cfee4cfbb83e,129,Changan,CS55-Plus,2027,Elite/Premium (2 trims),SINGLE_SOURCE/MODEL_YEAR_CONFLICT_ONLY,changan,changan/cs55-plus,exact_normalized,
f795bab06e6b,130,Changan,UNI-V,2026,Flagship (1 trim),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/uni-v,exact_normalized,
6ad5b8524727,131,Changan,UNI-T,2026,Premium/Flagship (2 trims),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/uni-t,exact_normalized,
f279449198ed,132,Changan,CS75 Plus,2026,PREMIUM/FLAGSHIP (2 trims),SINGLE_SOURCE/NO_HATLA2EE_CHECK,changan,changan/cs75-plus,exact_normalized,
439e7739a0da,133,Renault,Taliant,2026,Evolution/Techno (2 trims),CONFIRMED_MATCH_ALL_SOURCES,renault,renault/taliant,exact_normalized,
22f921d03c16,134,Renault,Kardian,2026,Evolution/Techno/Iconic (3 trims),CONFIRMED_MATCH_ALL_SOURCES,renault,renault/kardian,exact_normalized,
427212e68c1a,135,Renault,Duster,2026,Authentic-H1/Evolution-H2/Techno-H3 (3 trims),CONFIRMED_MATCH_ALL_SOURCES,renault,renault/duster,exact_normalized,
9b611aa348b0,136,Renault,Megane,2026,1.6 Dynamic/1.6 Signature/1.3 Turbo Signature (3 trims),CONFIRMED_MATCH_ALL_SOURCES,renault,renault/megane,exact_normalized,
5eeb86be5988,137,Renault,Austral,2026,Evolution/Techno/Iconic/Esprit Alpine (4 matched trims) + Esprit Alpine/B/E (Hatla2ee-only 5th),SIGNIFICANT_PRICE_CONFLICT,renault,renault/austral,exact_normalized,
31195c055807,138,Baic,BJ30,2026,Pro/Ultra-Hybrid/Off road-Hybrid (3 trims),CONFIRMED_MATCH_ALL_SOURCES,baic,baic/bj30,exact_normalized,
82c9108b0aa0,139,Baic,U5 Plus,2026,Manual/Comfort/Top Line (3 trims),CONFIRMED_MATCH_ALL_SOURCES,baic,baic/u5-plus,exact_normalized,
4f215638781b,140,Baic,X35 / X3,2026,"Luxury (1 trim, ContactCars) / (1 class, Hatla2ee as 'X3')",NAMING_DIFFERENCE,baic,baic/x3;baic/x35,unresolved,R-62054483c97e
12889abe925f,141,Baic,X 55,2026,High Line/Top Line/Premium (3 trims),CONFIRMED_MATCH_ALL_SOURCES,baic,baic/x55,exact_normalized,
01758809a3f1,142,Baic,X7,2026,High Line/Top Line/Premium (3 trims),CONFIRMED_MATCH_ALL_SOURCES,baic,baic/x7,exact_normalized,
af05e5e00612,143,Mitsubishi,Outlander Sport,2025 (ContactCars) vs 2026 (Hatla2ee),High Line/Premium (2 ContactCars trims) vs Midline/High Line/Premium Line (3 Hatla2ee trims),MODEL_YEAR_CONFLICT,mitsubishi,mitsubishi/outlander-sport,exact_normalized,
55c656d3abd5,144,Mitsubishi,Attrage,2025,Highline (1 trim),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,mitsubishi,mitsubishi/attrage,exact_normalized,
4c6b74d996b9,145,Mitsubishi,Mirage,2025,Highline (1 trim),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,mitsubishi,mitsubishi/mirage,exact_normalized,
2b98b3236a2b,146,Mitsubishi,Xpander,2026,Ignite-ML/Spark-HL/Premium-PL (3 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,mitsubishi,mitsubishi/xpander,exact_normalized,
e129f7aa8c48,147,Mitsubishi,Xpander,2027,Highline/Premium line (2 trims),SINGLE_SOURCE/MODEL_YEAR_DISCOVERY,mitsubishi,mitsubishi/xpander,exact_normalized,
86286f81f61d,148,Mitsubishi,Eclipse Cross,2026,Insport BL/Insport PLUS-ML PLUS/Inspire-HL/Instyle TL/INFINITY-PL AWD (5 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,mitsubishi,mitsubishi/eclipse-cross,exact_normalized,
e7a7e8fdbad2,149,Mitsubishi,Destinator,2027,Mid Line/High Line/Premium Line (3 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,mitsubishi,mitsubishi/destinator,exact_normalized,
1367ffbaf27d,150,Peugeot,2008,2027,ALLURE/GT (2 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,peugeot,peugeot/2008,exact_normalized,
b81194961749,151,Peugeot,408,2027,Allure/GT (2 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,peugeot,peugeot/408,exact_normalized,
308e7bc6bceb,152,Peugeot,408,2026,ALLURE PACK/GT (2 trims),SINGLE_SOURCE/MODEL_YEAR_CONFLICT_ONLY,peugeot,peugeot/408,exact_normalized,
48a9615f913f,153,Peugeot,3008,2027,Allure/GT (2 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,peugeot,peugeot/3008,exact_normalized,
e9d2ba36c158,154,Peugeot,5008,2027,Allure/GT (2 trims),SINGLE_SOURCE/NO_OFFICIAL_PAGE_FOUND,peugeot,peugeot/5008,exact_normalized,
